scientific_name,birdnet_id,common_name_fr,common_name_en,is_bird,peak_share,mean_share,status,weekly
Felis catus,BN05583,chat domestique,Domestic Cat,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Bombus impatiens,BN01780,bourdon fébrile,Common Eastern Bumble Bee,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Ovis aries,BN10428,Mouton Domestique,Domestic Sheep,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Capra hircus,BN02365,Chèvre domestique,Domestic Goat,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Equus caballus,BN05192,Cheval,Domestic Horse,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Rattus norvegicus,BN13097,Rat surmulot,Brown Rat,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Canis familiaris,BN02328,Chien,Domestic Dog,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Apis mellifera,BN01032,Abeille européenne,Western Honey Bee,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Bombus terrestris,BN01794,Bourdon terrestre,Buff-tailed Bumble Bee,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Bos taurus,BN01811,Vache Domestique,Domestic Cattle,0,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Gallus gallus,BN05833,Coq bankiva,Red Junglefowl,1,1.0,1.0,resident,1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Phalacrocorax carbo,BN11052,Grand Cormoran,Great Cormorant,1,1.0,0.98,resident,0.93 0.95 0.99 0.96 0.95 0.95 0.94 0.95 0.95 0.95 0.95 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.97 0.93 0.92 0.93 0.93 0.92
Chroicocephalus ridibundus,BN03028,Mouette rieuse,Black-headed Gull,1,1.0,0.972,resident,0.92 0.93 0.97 0.95 0.93 0.94 0.94 0.96 0.95 0.95 0.95 0.99 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.96 0.97 0.94 0.95 0.96 0.96 0.98 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.97 0.93 0.92 0.93 0.93 0.92
Larus michahellis,BN07555,Goéland leucophée,Yellow-legged Gull,1,1.0,0.971,resident,0.91 0.91 0.91 0.91 0.92 0.93 0.93 0.93 0.94 0.95 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.92 0.95 0.98 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.98 0.92 0.91 0.92 0.91 0.91
Larus fuscus,BN07548,Goéland brun,Lesser Black-backed Gull,1,0.997,0.958,resident,0.93 0.93 0.97 0.94 0.94 0.93 0.93 0.95 0.96 0.96 0.98 0.99 0.99 1.00 1.00 0.99 0.99 0.99 0.97 0.96 0.95 0.93 0.92 0.92 0.90 0.90 0.92 0.92 0.94 0.96 0.97 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 0.93 0.91 0.93 0.92 0.92
Ardea cinerea,BN01189,Héron cendré,Grey Heron,1,1.0,0.949,resident,0.90 0.92 0.95 0.94 0.90 0.91 0.90 0.90 0.90 0.91 0.92 0.93 0.99 1.00 1.00 0.94 0.98 0.97 0.97 0.96 0.95 0.92 0.92 0.92 0.92 0.92 0.93 0.94 0.97 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.96 0.94 0.94 0.91 0.90 0.91 0.91 0.90
Sturnus vulgaris,BN14408,Étourneau sansonnet,Common Starling,1,1.0,0.947,resident,0.91 0.91 0.95 0.92 0.91 0.92 0.92 0.93 0.93 0.93 0.94 0.95 0.96 0.96 0.96 0.93 0.95 0.94 0.95 0.92 0.93 0.92 0.93 0.95 0.94 0.94 0.96 0.95 0.94 0.96 0.98 1.00 0.98 0.97 0.97 0.96 0.98 1.00 1.00 1.00 1.00 0.96 0.96 0.92 0.92 0.92 0.92 0.91
Erithacus rubecula,BN05247,Rougegorge familier,European Robin,1,1.0,0.941,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.92 0.96 0.99 1.00 1.00 0.99 1.00 1.00 1.00 1.00 0.90 0.90 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.90 0.90 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.97 0.95 0.91 0.90 0.90 0.90 0.90
Phylloscopus collybita,BN11333,Pouillot véloce,Common Chiffchaff,1,1.0,0.935,resident,0.89 0.89 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.89 0.92 0.96 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.92 0.90 0.89 0.89 0.89 0.88 0.88 0.89 0.89 0.90 0.96 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.96 0.91 0.90 0.89 0.89 0.89 0.89 0.89
Motacilla alba,BN09124,Bergeronnette grise,White Wagtail,1,1.0,0.933,resident,0.89 0.89 0.90 0.89 0.89 0.89 0.90 0.90 0.92 0.94 0.95 0.95 0.98 0.99 0.98 0.93 0.97 0.92 0.92 0.90 0.90 0.90 0.90 0.90 0.89 0.89 0.90 0.90 0.90 0.91 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.93 0.92 0.90 0.89 0.89 0.89 0.89
Phoenicurus ochruros,BN11203,Rougequeue noir,Black Redstart,1,1.0,0.931,resident,0.89 0.89 0.90 0.89 0.89 0.90 0.90 0.90 0.91 0.93 0.96 0.97 0.99 0.98 0.96 0.92 0.91 0.90 0.91 0.89 0.89 0.89 0.89 0.90 0.89 0.89 0.90 0.89 0.90 0.90 0.92 0.96 0.98 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.96 0.91 0.90 0.90 0.90 0.90
Turdus philomelos,BN15465,Grive musicienne,Song Thrush,1,1.0,0.929,resident,0.89 0.89 0.90 0.90 0.90 0.91 0.92 0.93 0.94 0.94 0.95 0.95 0.97 0.96 0.95 0.96 0.97 0.96 0.98 0.95 0.93 0.91 0.92 0.94 0.90 0.90 0.89 0.89 0.88 0.88 0.88 0.88 0.89 0.88 0.91 0.94 0.95 1.00 1.00 1.00 1.00 0.97 0.96 0.94 0.92 0.91 0.90 0.90
Fringilla coelebs,BN05700,Pinson des arbres,Eurasian Chaffinch,1,1.0,0.927,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.91 0.93 0.95 0.97 0.99 0.98 0.96 0.95 0.96 0.94 0.96 0.92 0.91 0.91 0.91 0.93 0.90 0.90 0.90 0.90 0.90 0.90 0.89 0.90 0.91 0.93 0.96 0.97 1.00 1.00 1.00 1.00 1.00 0.93 0.92 0.90 0.89 0.89 0.89 0.89
Alauda arvensis,BN00362,Alouette des champs,Eurasian Skylark,1,1.0,0.926,resident,0.89 0.89 0.90 0.89 0.89 0.89 0.89 0.90 0.92 0.92 0.93 0.94 0.94 0.93 0.94 0.90 0.92 0.92 0.90 0.90 0.91 0.90 0.90 0.89 0.88 0.88 0.88 0.88 0.88 0.89 0.96 1.00 0.99 1.00 0.99 0.99 1.00 1.00 1.00 1.00 0.99 0.95 0.94 0.91 0.90 0.90 0.89 0.89
Coloeus monedula,BN03489,Choucas des tours,Western Jackdaw,1,1.0,0.925,resident,0.89 0.90 0.90 0.90 0.91 0.91 0.91 0.92 0.91 0.91 0.91 0.93 0.93 0.94 0.95 0.92 0.93 0.92 0.93 0.90 0.90 0.90 0.91 0.91 0.91 0.91 0.95 0.92 0.91 0.95 0.99 1.00 0.98 0.98 0.95 0.94 0.96 0.93 0.94 0.99 0.93 0.92 0.92 0.89 0.89 0.89 0.90 0.89
Sylvia atricapilla,BN14458,Fauvette à tête noire,Eurasian Blackcap,1,1.0,0.922,resident,0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.90 0.93 0.95 0.94 0.95 1.00 0.97 0.99 0.91 0.90 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.92 0.90 0.90 0.89 0.88 0.88 0.88 0.88
Falco tinnunculus,BN05563,Faucon crécerelle,Common Kestrel,1,1.0,0.919,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.92 0.97 0.96 0.95 0.94 0.96 0.92 0.92 0.91 0.91 0.90 0.90 0.91 0.90 0.90 0.90 0.90 0.90 0.91 0.94 1.00 1.00 1.00 0.95 0.93 0.94 0.92 0.95 0.97 0.93 0.91 0.90 0.89 0.89 0.89 0.89 0.89
Anas platyrhynchos,BN00713,Canard colvert,Mallard,1,0.962,0.919,resident,0.90 0.91 0.95 0.94 0.90 0.92 0.91 0.91 0.91 0.91 0.92 0.93 0.93 0.93 0.93 0.90 0.90 0.90 0.93 0.90 0.90 0.90 0.90 0.90 0.89 0.89 0.89 0.90 0.89 0.89 0.90 0.96 0.93 0.96 0.95 0.95 0.96 0.95 0.95 0.95 0.94 0.94 0.94 0.90 0.90 0.91 0.91 0.90
Columba livia,BN03514,Pigeon biset,Rock Dove,1,1.0,0.918,resident,0.89 0.89 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.93 0.93 0.91 0.94 0.92 0.92 0.91 0.92 0.92 0.94 0.96 0.96 0.96 0.95 0.93 0.93 0.94 0.99 1.00 0.99 0.97 0.92 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.89
Turdus merula,BN15446,Merle noir,Common Blackbird,1,0.993,0.915,resident,0.89 0.89 0.90 0.89 0.89 0.90 0.90 0.90 0.92 0.93 0.94 0.95 0.95 0.95 0.93 0.91 0.90 0.90 0.90 0.90 0.89 0.90 0.89 0.90 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.89 0.89 0.89 0.90 0.95 0.98 0.96 0.99 0.99 0.96 0.95 0.94 0.92 0.91 0.91 0.90 0.90
Columba palumbus,BN03520,Pigeon ramier,Common Wood Pigeon,1,0.962,0.914,resident,0.88 0.89 0.89 0.89 0.89 0.89 0.88 0.89 0.90 0.92 0.92 0.93 0.94 0.94 0.93 0.92 0.92 0.92 0.96 0.94 0.93 0.93 0.93 0.96 0.93 0.94 0.96 0.95 0.90 0.90 0.90 0.90 0.89 0.89 0.90 0.91 0.95 0.94 0.92 0.92 0.92 0.90 0.90 0.89 0.88 0.89 0.89 0.88
Streptopelia decaocto,BN14345,Tourterelle turque,Eurasian Collared Dove,1,0.974,0.914,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.92 0.94 0.94 0.93 0.92 0.91 0.92 0.93 0.92 0.92 0.93 0.95 0.96 0.97 0.97 0.97 0.96 0.96 0.94 0.96 0.97 0.92 0.90 0.90 0.89 0.92 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.89 0.88
Egretta garzetta,BN04922,Aigrette garzette,Little Egret,1,0.997,0.914,resident,0.88 0.88 0.94 0.92 0.88 0.89 0.88 0.88 0.88 0.89 0.89 0.91 0.94 0.97 0.96 0.91 0.92 0.92 0.91 0.90 0.90 0.90 0.90 0.90 0.92 0.91 0.92 0.92 0.94 0.96 0.99 1.00 0.99 0.99 0.93 0.90 0.90 0.90 0.90 0.90 0.89 0.89 0.89 0.88 0.88 0.88 0.89 0.88
Falco peregrinus,BN05553,Faucon pèlerin,Peregrine Falcon,1,1.0,0.913,resident,0.89 0.89 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.89 0.89 0.90 0.90 0.90 0.91 0.91 0.91 0.91 0.91 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.96 0.94 0.98 0.96 0.96 1.00 1.00 1.00 1.00 0.98 0.94 0.93 0.90 0.90 0.89 0.89 0.89
Hirundo rustica,BN06682,Hirondelle rustique,Barn Swallow,1,1.0,0.912,resident,0.73 0.72 0.72 0.73 0.74 0.77 0.80 0.86 0.88 0.88 0.90 0.96 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.98 0.99 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.97 0.94 0.93 0.90 0.89 0.87 0.85 0.82 0.77 0.74 0.73 0.73
Anthus pratensis,BN00934,Pipit farlouse,Meadow Pipit,1,1.0,0.911,resident,0.90 0.90 0.91 0.90 0.90 0.90 0.91 0.92 0.93 0.95 0.98 0.99 1.00 0.99 0.98 0.97 0.97 0.93 0.88 0.83 0.81 0.78 0.77 0.77 0.75 0.75 0.75 0.78 0.80 0.82 0.92 0.95 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.95 0.91 0.90 0.90 0.90 0.90
Accipiter nisus,BN00036,Épervier d'Europe,Eurasian Sparrowhawk,1,0.996,0.908,resident,0.89 0.89 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.94 0.93 0.92 0.91 0.93 0.91 0.93 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.92 0.92 0.97 0.94 1.00 0.99 0.94 0.93 0.92 0.90 0.89 0.90 0.89 0.89
Carduelis carduelis,BN02428,Chardonneret élégant,European Goldfinch,1,0.942,0.906,resident,0.89 0.89 0.89 0.89 0.90 0.89 0.90 0.90 0.90 0.90 0.90 0.92 0.92 0.92 0.91 0.92 0.92 0.91 0.91 0.92 0.93 0.92 0.92 0.91 0.90 0.91 0.91 0.90 0.89 0.90 0.90 0.92 0.90 0.89 0.89 0.90 0.94 0.90 0.91 0.91 0.90 0.90 0.90 0.90 0.89 0.89 0.90 0.89
Linaria cannabina,BN07915,Linotte mélodieuse,Common Linnet,1,1.0,0.906,resident,0.88 0.88 0.88 0.88 0.89 0.88 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.92 0.92 0.92 0.92 0.92 0.91 0.91 0.91 0.91 0.90 0.89 0.90 0.90 0.89 0.88 0.88 0.89 0.90 0.90 0.90 0.90 0.92 0.96 0.99 1.00 1.00 0.90 0.90 0.90 0.89 0.89 0.89 0.89 0.89
Troglodytes troglodytes,BN15317,Troglodyte mignon,Eurasian Wren,1,1.0,0.906,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.93 0.91 0.90 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.89 0.89 0.90 0.92 0.96 1.00 1.00 1.00 1.00 0.92 0.91 0.91 0.89 0.89 0.89 0.89 0.89
Pica pica,BN11450,Pie bavarde,Eurasian Magpie,1,1.0,0.905,resident,0.88 0.88 0.88 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.88 0.88 0.88 0.89 0.90 0.89 0.90 0.90 0.94 0.91 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.98 1.00 1.00 1.00 1.00 0.99 1.00 0.96 0.91 0.90 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88
Buteo buteo,BN02011,Buse variable,Common Buzzard,1,0.984,0.904,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.90 0.91 0.90 0.90 0.90 0.90 0.90 0.89 0.89 0.89 0.90 0.91 0.92 0.96 0.98 0.96 0.91 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89
Chloris chloris,BN02895,Verdier d'Europe,European Greenfinch,1,0.99,0.904,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.91 0.92 0.91 0.90 0.90 0.90 0.89 0.89 0.89 0.89 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.90 0.91 0.93 0.99 0.91 0.90 0.90 0.91 0.95 0.93 0.95 0.91 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.89
Regulus regulus,BN13122,Roitelet huppé,Goldcrest,1,1.0,0.902,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.91 0.92 0.94 0.93 0.92 0.90 0.89 0.88 0.88 0.88 0.87 0.87 0.86 0.86 0.86 0.85 0.85 0.86 0.86 0.87 0.87 0.88 0.89 0.90 0.90 0.92 0.95 0.99 1.00 1.00 1.00 0.95 0.93 0.93 0.90 0.89 0.89 0.89 0.89
Motacilla cinerea,BN09127,Bergeronnette des ruisseaux,Grey Wagtail,1,1.0,0.902,resident,0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.90 0.91 0.91 0.90 0.90 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.87 0.87 0.87 0.88 0.88 0.88 0.88 0.89 0.89 0.90 0.91 0.92 0.95 1.00 1.00 1.00 1.00 0.95 0.92 0.91 0.89 0.89 0.89 0.89 0.88
Actitis hypoleucos,BN00135,Chevalier guignette,Common Sandpiper,1,1.0,0.9,resident,0.87 0.87 0.89 0.87 0.87 0.87 0.87 0.88 0.88 0.88 0.88 0.89 0.90 0.91 0.91 0.91 0.92 0.90 0.90 0.89 0.88 0.88 0.88 0.88 0.88 0.89 0.90 0.90 0.92 0.98 1.00 1.00 1.00 1.00 0.96 0.91 0.90 0.89 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.87 0.87 0.87
Parus major,BN10707,Mésange charbonnière,Great Tit,1,0.983,0.9,resident,0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.90 0.93 0.93 0.92 0.90 0.90 0.89 0.89 0.89 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.90 0.91 0.96 0.98 0.95 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89
Gallinula chloropus,BN05803,Gallinule poule-d'eau,Common Moorhen,1,0.947,0.897,resident,0.89 0.89 0.95 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.92 0.93 0.92 0.90 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.89 0.90 0.91 0.91 0.92 0.91 0.92 0.93 0.92 0.92 0.91 0.90 0.89 0.89 0.89 0.88 0.89 0.89 0.89
Saxicola rubicola,BN13562,Tarier pâtre,European Stonechat,1,0.916,0.895,resident,0.89 0.89 0.90 0.89 0.89 0.90 0.89 0.90 0.90 0.91 0.91 0.92 0.91 0.90 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.88 0.89 0.88 0.89 0.89 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.89
Passer domesticus,BN10714,Moineau domestique,House Sparrow,1,0.95,0.893,resident,0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.89 0.90 0.89 0.89 0.89 0.90 0.90 0.90 0.90 0.89 0.90 0.89 0.90 0.90 0.90 0.89 0.89 0.89 0.94 0.93 0.95 0.89 0.89 0.93 0.89 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88
Cyanistes caeruleus,BN04106,Mésange bleue,Eurasian Blue Tit,1,0.976,0.892,resident,0.88 0.88 0.89 0.89 0.88 0.89 0.88 0.88 0.88 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.89 0.89 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.89 0.89 0.90 0.95 0.93 0.98 0.90 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88
Vanellus vanellus,BN15685,Vanneau huppé,Northern Lapwing,1,0.942,0.892,resident,0.89 0.90 0.94 0.94 0.90 0.93 0.91 0.92 0.93 0.93 0.92 0.93 0.92 0.90 0.88 0.86 0.87 0.86 0.86 0.85 0.85 0.84 0.84 0.85 0.85 0.85 0.87 0.86 0.85 0.86 0.87 0.88 0.88 0.87 0.89 0.90 0.91 0.92 0.94 0.94 0.94 0.94 0.94 0.90 0.89 0.91 0.90 0.89
Podiceps cristatus,BN11812,Grèbe huppé,Great Crested Grebe,1,0.953,0.891,resident,0.88 0.89 0.95 0.94 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.90 0.90 0.89 0.89 0.88 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.90 0.89 0.91 0.92 0.91 0.90 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88
Corvus corax,BN03725,Grand Corbeau,Northern Raven,1,0.972,0.89,resident,0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.88 0.88 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.90 0.90 0.89 0.90 0.90 0.97 0.95 0.95 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88
Fulica atra,BN05715,Foulque macroule,Eurasian Coot,1,0.946,0.89,resident,0.88 0.89 0.95 0.94 0.89 0.90 0.89 0.89 0.89 0.89 0.89 0.90 0.92 0.92 0.90 0.89 0.88 0.89 0.89 0.88 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.89 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.89 0.88
Circus aeruginosus,BN03235,Busard des roseaux,Western Marsh Harrier,1,0.999,0.889,resident,0.85 0.86 0.86 0.85 0.85 0.85 0.85 0.86 0.86 0.87 0.88 0.88 0.89 0.89 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.90 0.94 0.99 1.00 0.99 1.00 0.96 0.94 0.95 0.89 0.88 0.88 0.87 0.87 0.86 0.86 0.85 0.85 0.85 0.85
Regulus ignicapilla,BN13120,Roitelet triple-bandeau,Common Firecrest,1,0.926,0.888,resident,0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.91 0.93 0.90 0.91 0.90 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.88 0.89 0.89 0.90 0.91 0.91 0.90 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88
Ardea alba,BN01187,Grande Aigrette,Great Egret,1,0.933,0.887,resident,0.88 0.88 0.93 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.88 0.89 0.90 0.91 0.89 0.89 0.89 0.88 0.88 0.88 0.88 0.87 0.87 0.87 0.87 0.88 0.88 0.88 0.89 0.91 0.93 0.91 0.91 0.90 0.90 0.93 0.91 0.91 0.90 0.89 0.88 0.88 0.88 0.88 0.88 0.88 0.88
