scientific_name,birdnet_id,common_name_fr,common_name_en,is_bird,peak_share,mean_share,status,weekly
Clangula hyemalis,BN03328,Harelde kakawi,Long-tailed Duck,1,0.707,0.39,winter,0.70 0.70 0.70 0.69 0.68 0.67 0.65 0.61 0.56 0.51 0.49 0.44 0.40 0.37 0.33 0.30 0.27 0.25 0.21 0.19 0.17 0.14 0.12 0.11 0.10 0.10 0.10 0.10 0.10 0.10 0.10 0.12 0.14 0.15 0.16 0.19 0.23 0.31 0.41 0.52 0.63 0.69 0.71 0.69 0.70 0.70 0.71 0.70
Otus scops,BN10416,Petit-duc scops,Eurasian Scops Owl,1,0.761,0.387,summer,0.10 0.11 0.12 0.13 0.14 0.16 0.19 0.22 0.28 0.31 0.36 0.42 0.50 0.58 0.63 0.70 0.74 0.76 0.75 0.74 0.74 0.74 0.71 0.67 0.63 0.59 0.56 0.53 0.51 0.50 0.49 0.47 0.44 0.39 0.36 0.32 0.29 0.26 0.25 0.22 0.17 0.14 0.13 0.12 0.11 0.10 0.10 0.10
Botaurus minutus,BN01824,Blongios nain,Little Bittern,1,0.699,0.385,summer,0.05 0.04 0.04 0.04 0.04 0.04 0.04 0.05 0.07 0.10 0.12 0.19 0.27 0.36 0.48 0.62 0.67 0.69 0.70 0.70 0.70 0.70 0.69 0.69 0.69 0.69 0.69 0.69 0.68 0.68 0.68 0.67 0.66 0.64 0.62 0.58 0.51 0.46 0.38 0.28 0.20 0.15 0.11 0.09 0.08 0.06 0.06 0.05
Phylloscopus bonelli,BN11321,Pouillot de Bonelli,Western Bonelli's Warbler,1,0.818,0.383,summer,0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.02 0.08 0.15 0.23 0.39 0.57 0.68 0.76 0.80 0.82 0.82 0.81 0.80 0.78 0.77 0.76 0.75 0.74 0.72 0.71 0.70 0.69 0.70 0.69 0.68 0.62 0.55 0.48 0.40 0.31 0.22 0.12 0.06 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00
Lanius senator,BN07524,Pie-grièche à tête rousse,Woodchat Shrike,1,0.858,0.382,summer,0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.08 0.15 0.24 0.38 0.55 0.67 0.77 0.83 0.86 0.86 0.85 0.84 0.83 0.80 0.79 0.78 0.77 0.75 0.73 0.71 0.69 0.68 0.69 0.66 0.56 0.47 0.39 0.33 0.27 0.19 0.10 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Acrocephalus arundinaceus,BN00069,Rousserolle turdoïde,Great Reed Warbler,1,0.837,0.376,summer,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.05 0.10 0.22 0.38 0.58 0.70 0.77 0.82 0.83 0.84 0.84 0.83 0.83 0.82 0.80 0.79 0.77 0.77 0.75 0.74 0.73 0.72 0.68 0.63 0.54 0.47 0.35 0.27 0.19 0.13 0.06 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00
Omocestus rufipes,BN10140,Criquet noir ébène,Woodland Grasshopper,0,0.759,0.375,summer,0.05 0.03 0.03 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.05 0.09 0.16 0.25 0.34 0.45 0.53 0.59 0.61 0.62 0.64 0.65 0.67 0.68 0.70 0.70 0.70 0.71 0.73 0.74 0.75 0.75 0.76 0.76 0.75 0.70 0.65 0.56 0.42 0.32 0.25 0.17 0.13 0.08 0.07 0.06
Pseudochorthippus parallelus,BN12365,Criquet des pâtures,Meadow Grasshopper,0,0.776,0.375,summer,0.01 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.04 0.08 0.14 0.22 0.32 0.56 0.68 0.72 0.74 0.75 0.77 0.77 0.77 0.78 0.77 0.77 0.76 0.75 0.74 0.73 0.71 0.71 0.69 0.69 0.67 0.63 0.59 0.50 0.38 0.23 0.13 0.06 0.03 0.03 0.02
Nucifraga caryocatactes,BN09877,Cassenoix moucheté,Northern Nutcracker,1,0.489,0.375,resident,0.44 0.44 0.43 0.42 0.42 0.41 0.40 0.39 0.38 0.37 0.35 0.31 0.28 0.27 0.27 0.28 0.29 0.29 0.28 0.28 0.28 0.28 0.27 0.28 0.28 0.28 0.29 0.30 0.32 0.34 0.37 0.39 0.40 0.40 0.41 0.45 0.47 0.49 0.49 0.48 0.48 0.48 0.48 0.47 0.47 0.46 0.45 0.44
Anser brachyrhynchus,BN00822,Oie à bec court,Pink-footed Goose,1,0.682,0.375,winter,0.67 0.67 0.67 0.66 0.65 0.65 0.63 0.60 0.55 0.50 0.44 0.36 0.29 0.25 0.23 0.20 0.18 0.17 0.15 0.12 0.10 0.10 0.10 0.10 0.10 0.10 0.10 0.10 0.11 0.11 0.13 0.15 0.18 0.20 0.22 0.27 0.35 0.45 0.52 0.56 0.62 0.66 0.68 0.65 0.66 0.67 0.67 0.67
Alca torda,BN00372,Petit Pingouin,Razorbill,1,0.463,0.371,resident,0.43 0.43 0.41 0.41 0.41 0.39 0.40 0.39 0.40 0.39 0.40 0.42 0.43 0.42 0.42 0.41 0.40 0.39 0.38 0.35 0.31 0.27 0.27 0.26 0.26 0.25 0.28 0.26 0.27 0.27 0.31 0.32 0.32 0.32 0.33 0.31 0.37 0.40 0.42 0.44 0.46 0.46 0.45 0.43 0.42 0.44 0.42 0.42
